Device:	GeForce GTX 650 Ti
Matrix Order: 16

Single precision
Multiplications	shortest(ns)	average(ns)
82	16608	20671
83	16704	20778
84	16608	20987
85	17152	21146
86	17120	21163
87	17120	21235
88	17216	21297
89	17664	21729
90	17600	21888
91	17632	22053
92	17824	22141
93	18176	22178
94	18176	22228
95	18304	22255
96	18112	22312
97	18752	22940
98	18784	23047
99	18816	23113
100	19264	23284

Double-Double precision
Multiplications	shortest(ns)	average(ns)
1	18144	22133
2	18304	22239
3	18272	22190
4	18304	22269
5	32832	37024
6	33088	37116
7	33088	37041
8	33024	37127
9	47872	51915
10	47968	51962
11	47744	51955
12	47744	51979
13	62720	66702
14	62592	66675
15	62592	66772
16	62464	66692
17	77120	81271
18	77152	81206
19	77216	81255
20	77216	81233
21	91648	95899
22	91872	96077
23	91744	95951
24	91744	95936
25	106336	110261
26	106336	111279
27	106240	114723
28	106400	120716
29	120832	124969
30	121024	125657
31	121024	130234
32	121056	142637
33	135392	155925
34	135264	165785
35	135424	173045
36	135488	177712
37	149824	177901
38	149920	176999
39	153920	179655
40	150176	180167
41	165024	181341
42	164608	182334
43	168736	183214
44	168640	183262
45	179072	183355
46	179232	183347
47	179488	184096
48	178976	183324
49	193568	197836
50	193536	198091
51	193856	198572
52	194016	200841
53	208000	212195
54	207968	212800
55	207968	215176
56	208320	217010
57	222528	233166
58	222688	237654
59	222560	243185
60	222848	246732
61	237024	250851
62	237184	253413
63	237184	256244
64	237280	260398
65	251648	264003
66	251904	267551
67	252448	269631
68	252384	270336
69	266208	271148
70	266304	271195
71	266624	272054
72	266304	270838
73	280768	284907
74	280544	286869
75	280736	289539
76	280768	292547
77	295264	300667
78	295168	302086
79	295264	304058
80	295232	306561
81	309664	319348
82	309760	324104
83	309696	330552
84	310144	333316
85	324448	337116
86	324320	338958
87	324512	342297
88	324544	343521
89	338976	346481
90	338912	349030
91	338880	353166
92	339072	356438
93	353280	358718
94	353536	359917
95	353568	362191
96	353376	357885
97	368000	372261
98	368192	375999
99	368032	378845
100	368352	383647
Quad-Double precision
Multiplications	shortest(ns)	average(ns)
1	168128	172161
2	168192	172280
3	168096	172221
4	168288	171161
5	252032	261636
6	253024	263534
7	254720	264309
8	257472	265278
9	358720	366674
10	361536	368195
11	363296	368918
12	363296	370134
13	521952	528706
14	523424	553700
15	526528	597452
16	526368	635324
17	604160	671462
18	611040	698937
19	613216	715831
20	614656	722725
21	715072	724595
22	715616	725765
23	718336	726689
24	721344	729088
25	866752	882822
26	875136	903297
27	879904	934620
28	881952	977586
29	957920	1015721
30	961280	1043662
31	964672	1066572
32	961888	1075104
33	1059776	1078627
34	1067968	1080864
35	1071488	1082600
36	1071840	1084579
37	1215680	1235841
38	1228832	1258147
39	1231264	1291280
40	1235744	1328526
41	1305120	1359655
42	1313216	1388916
43	1319072	1414748
44	1322112	1427769
45	1411200	1432806
46	1421088	1435297
47	1424320	1438005
